<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,25/09/18,12:27,115170,115230,115160,115180,735
SPFB.RTS-12.18,1,25/09/18,12:28,115200,115280,115190,115210,639
SPFB.RTS-12.18,1,25/09/18,12:29,115200,115250,115190,115200,276
SPFB.RTS-12.18,1,25/09/18,12:30,115200,115210,115160,115180,391
SPFB.RTS-12.18,1,25/09/18,12:31,115170,115240,115100,115130,897
SPFB.RTS-12.18,1,25/09/18,12:32,115140,115150,115100,115140,287
SPFB.RTS-12.18,1,25/09/18,12:33,115140,115170,115100,115110,441
SPFB.RTS-12.18,1,25/09/18,12:34,115110,115130,115060,115130,439
SPFB.RTS-12.18,1,25/09/18,12:35,115130,115130,115060,115090,185
SPFB.RTS-12.18,1,25/09/18,12:36,115080,115090,114910,114950,1468
SPFB.RTS-12.18,1,25/09/18,12:37,114940,115030,114900,115000,695
SPFB.RTS-12.18,1,25/09/18,12:38,115020,115050,115000,115040,359
SPFB.RTS-12.18,1,25/09/18,12:39,115020,115030,114990,115020,389
SPFB.RTS-12.18,1,25/09/18,12:40,115020,115050,115000,115030,458
SPFB.RTS-12.18,1,25/09/18,12:41,115040,115040,114970,114980,263
SPFB.RTS-12.18,1,25/09/18,12:42,114990,115010,114940,114970,115
SPFB.RTS-12.18,1,25/09/18,12:43,114960,115020,114950,115010,154
SPFB.RTS-12.18,1,25/09/18,12:44,115020,115030,114980,115000,255
SPFB.RTS-12.18,1,25/09/18,12:45,114990,115030,114980,115030,249
SPFB.RTS-12.18,1,25/09/18,12:46,115030,115030,114930,114980,411
SPFB.RTS-12.18,1,25/09/18,12:47,114980,115000,114920,114930,345
SPFB.RTS-12.18,1,25/09/18,12:48,114920,114990,114910,114960,278
SPFB.RTS-12.18,1,25/09/18,12:49,114980,114990,114920,114940,365
SPFB.RTS-12.18,1,25/09/18,12:50,114950,115020,114950,115000,326
SPFB.RTS-12.18,1,25/09/18,12:51,115010,115030,114960,115000,195
SPFB.RTS-12.18,1,25/09/18,12:52,115020,115020,114970,114970,246
SPFB.RTS-12.18,1,25/09/18,12:53,114990,115020,114970,115010,191
SPFB.RTS-12.18,1,25/09/18,12:54,115010,115030,114960,115000,265
SPFB.RTS-12.18,1,25/09/18,12:55,115000,115020,114930,114980,389
SPFB.RTS-12.18,1,25/09/18,12:56,114990,115000,114930,114940,287
SPFB.RTS-12.18,1,25/09/18,12:57,114940,115000,114910,114980,426
SPFB.RTS-12.18,1,25/09/18,12:58,114980,114990,114900,114920,433
SPFB.RTS-12.18,1,25/09/18,12:59,114930,114950,114850,114950,852
SPFB.RTS-12.18,1,25/09/18,13:00,114950,114980,114920,114980,321
SPFB.RTS-12.18,1,25/09/18,13:01,114970,114970,114910,114930,272
SPFB.RTS-12.18,1,25/09/18,13:02,114910,114960,114890,114960,219
SPFB.RTS-12.18,1,25/09/18,13:03,114940,115000,114900,115000,362
SPFB.RTS-12.18,1,25/09/18,13:04,114990,115030,114950,114990,488
SPFB.RTS-12.18,1,25/09/18,13:05,114990,115050,114990,115020,448
SPFB.RTS-12.18,1,25/09/18,13:06,115020,115020,114930,114950,505
SPFB.RTS-12.18,1,25/09/18,13:07,114960,115010,114950,114960,448
SPFB.RTS-12.18,1,25/09/18,13:08,114960,114960,114900,114910,251
SPFB.RTS-12.18,1,25/09/18,13:09,114900,114930,114890,114920,319
SPFB.RTS-12.18,1,25/09/18,13:10,114930,114970,114890,114890,296
SPFB.RTS-12.18,1,25/09/18,13:11,114900,114910,114860,114910,244
SPFB.RTS-12.18,1,25/09/18,13:12,114900,114950,114890,114950,168
SPFB.RTS-12.18,1,25/09/18,13:13,114940,114970,114900,114900,141
SPFB.RTS-12.18,1,25/09/18,13:14,114900,114940,114880,114910,196
SPFB.RTS-12.18,1,25/09/18,13:15,114930,114940,114840,114850,407
SPFB.RTS-12.18,1,25/09/18,13:16,114850,114870,114820,114840,563
SPFB.RTS-12.18,1,25/09/18,13:17,114840,114870,114820,114830,285
SPFB.RTS-12.18,1,25/09/18,13:18,114840,114890,114830,114880,192
SPFB.RTS-12.18,1,25/09/18,13:19,114860,114900,114820,114870,103
SPFB.RTS-12.18,1,25/09/18,13:20,114890,114900,114850,114870,154
SPFB.RTS-12.18,1,25/09/18,13:21,114860,114900,114830,114840,248
SPFB.RTS-12.18,1,25/09/18,13:22,114850,114870,114830,114830,166
SPFB.RTS-12.18,1,25/09/18,13:23,114820,114860,114810,114850,239
SPFB.RTS-12.18,1,25/09/18,13:24,114850,114850,114780,114800,293
SPFB.RTS-12.18,1,25/09/18,13:25,114790,114810,114760,114770,247
SPFB.RTS-12.18,1,25/09/18,13:26,114790,114800,114720,114750,635
SPFB.RTS-12.18,1,25/09/18,13:27,114750,114760,114730,114750,168
SPFB.RTS-12.18,1,25/09/18,13:28,114740,114800,114740,114790,446
SPFB.RTS-12.18,1,25/09/18,13:29,114790,114860,114770,114850,478
SPFB.RTS-12.18,1,25/09/18,13:30,114850,114880,114790,114870,533
SPFB.RTS-12.18,1,25/09/18,13:31,114850,114880,114830,114880,328
SPFB.RTS-12.18,1,25/09/18,13:32,114880,114920,114870,114900,598
SPFB.RTS-12.18,1,25/09/18,13:33,114910,114980,114900,114970,621
SPFB.RTS-12.18,1,25/09/18,13:34,114960,114990,114900,114920,592
SPFB.RTS-12.18,1,25/09/18,13:35,114920,114960,114920,114950,211
SPFB.RTS-12.18,1,25/09/18,13:36,114950,114990,114930,114980,291
SPFB.RTS-12.18,1,25/09/18,13:37,114970,115030,114970,115030,604
SPFB.RTS-12.18,1,25/09/18,13:38,115040,115110,114990,115090,1351
SPFB.RTS-12.18,1,25/09/18,13:39,115100,115140,115080,115110,468
SPFB.RTS-12.18,1,25/09/18,13:40,115120,115160,115100,115160,811
SPFB.RTS-12.18,1,25/09/18,13:41,115150,115200,115150,115180,523
SPFB.RTS-12.18,1,25/09/18,13:42,115170,115190,115110,115110,530
SPFB.RTS-12.18,1,25/09/18,13:43,115120,115130,115100,115100,203
SPFB.RTS-12.18,1,25/09/18,13:44,115110,115170,115100,115150,652
SPFB.RTS-12.18,1,25/09/18,13:45,115140,115160,115110,115130,168
SPFB.RTS-12.18,1,25/09/18,13:46,115130,115180,115120,115170,230
SPFB.RTS-12.18,1,25/09/18,13:47,115180,115270,115160,115270,761
SPFB.RTS-12.18,1,25/09/18,13:48,115260,115320,115230,115260,901
SPFB.RTS-12.18,1,25/09/18,13:49,115260,115270,115230,115240,241
SPFB.RTS-12.18,1,25/09/18,13:50,115240,115280,115240,115270,199
SPFB.RTS-12.18,1,25/09/18,13:51,115250,115320,115250,115270,657
SPFB.RTS-12.18,1,25/09/18,13:52,115270,115290,115250,115270,545
SPFB.RTS-12.18,1,25/09/18,13:53,115280,115290,115220,115270,820
SPFB.RTS-12.18,1,25/09/18,13:54,115260,115310,115240,115280,454
SPFB.RTS-12.18,1,25/09/18,13:55,115290,115310,115250,115250,432
SPFB.RTS-12.18,1,25/09/18,13:56,115250,115260,115210,115210,275
SPFB.RTS-12.18,1,25/09/18,13:57,115210,115290,115200,115230,450
SPFB.RTS-12.18,1,25/09/18,13:58,115240,115240,115200,115210,278
SPFB.RTS-12.18,1,25/09/18,13:59,115210,115280,115200,115280,424
SPFB.RTS-12.18,1,25/09/18,14:00,115280,115370,115270,115310,1213
SPFB.RTS-12.18,1,25/09/18,14:06,115310,115340,115160,115170,1330
SPFB.RTS-12.18,1,25/09/18,14:07,115180,115190,115150,115180,636
SPFB.RTS-12.18,1,25/09/18,14:08,115180,115240,115170,115240,413
SPFB.RTS-12.18,1,25/09/18,14:09,115230,115270,115220,115230,328
SPFB.RTS-12.18,1,25/09/18,14:10,115220,115230,115200,115210,188
SPFB.RTS-12.18,1,25/09/18,14:11,115220,115240,115170,115170,180
SPFB.RTS-12.18,1,25/09/18,14:12,115170,115180,115080,115140,899
SPFB.RTS-12.18,1,25/09/18,14:13,115130,115180,115130,115150,138
SPFB.RTS-12.18,1,25/09/18,14:14,115150,115180,115140,115140,93
SPFB.RTS-12.18,1,25/09/18,14:15,115150,115170,115120,115130,173
SPFB.RTS-12.18,1,25/09/18,14:16,115140,115160,115100,115100,234
SPFB.RTS-12.18,1,25/09/18,14:17,115100,115110,115050,115060,455
SPFB.RTS-12.18,1,25/09/18,14:18,115070,115120,115050,115120,222
SPFB.RTS-12.18,1,25/09/18,14:19,115120,115150,115090,115150,286
SPFB.RTS-12.18,1,25/09/18,14:20,115150,115150,115080,115120,342
SPFB.RTS-12.18,1,25/09/18,14:21,115120,115160,115100,115150,175
SPFB.RTS-12.18,1,25/09/18,14:22,115150,115320,115150,115280,957
SPFB.RTS-12.18,1,25/09/18,14:23,115300,115440,115260,115400,1974
SPFB.RTS-12.18,1,25/09/18,14:24,115400,115450,115380,115390,1143
SPFB.RTS-12.18,1,25/09/18,14:25,115400,115440,115370,115370,526
SPFB.RTS-12.18,1,25/09/18,14:26,115370,115390,115360,115380,228
SPFB.RTS-12.18,1,25/09/18,14:27,115380,115450,115360,115420,521
SPFB.RTS-12.18,1,25/09/18,14:28,115420,115450,115400,115410,559
SPFB.RTS-12.18,1,25/09/18,14:29,115420,115480,115400,115410,634
SPFB.RTS-12.18,1,25/09/18,14:30,115410,115430,115380,115410,439
SPFB.RTS-12.18,1,25/09/18,14:31,115420,115460,115390,115460,449
SPFB.RTS-12.18,1,25/09/18,14:32,115460,115490,115440,115490,673
SPFB.RTS-12.18,1,25/09/18,14:33,115490,115640,115490,115600,3646
SPFB.RTS-12.18,1,25/09/18,14:34,115610,115670,115590,115640,1140
SPFB.RTS-12.18,1,25/09/18,14:35,115630,115670,115580,115580,740
SPFB.RTS-12.18,1,25/09/18,14:36,115600,115630,115580,115590,517
SPFB.RTS-12.18,1,25/09/18,14:37,115600,115600,115510,115520,653
SPFB.RTS-12.18,1,25/09/18,14:38,115520,115540,115480,115480,436
SPFB.RTS-12.18,1,25/09/18,14:39,115490,115550,115480,115530,730
SPFB.RTS-12.18,1,25/09/18,14:40,115530,115540,115480,115480,261
SPFB.RTS-12.18,1,25/09/18,14:41,115470,115520,115460,115510,372
SPFB.RTS-12.18,1,25/09/18,14:42,115490,115500,115390,115430,723
SPFB.RTS-12.18,1,25/09/18,14:43,115440,115460,115400,115420,306
SPFB.RTS-12.18,1,25/09/18,14:44,115410,115410,115370,115390,252
SPFB.RTS-12.18,1,25/09/18,14:45,115390,115450,115370,115400,783
SPFB.RTS-12.18,1,25/09/18,14:46,115410,115420,115390,115420,248
SPFB.RTS-12.18,1,25/09/18,14:47,115420,115430,115350,115370,377
SPFB.RTS-12.18,1,25/09/18,14:48,115370,115400,115350,115350,311
SPFB.RTS-12.18,1,25/09/18,14:49,115350,115390,115330,115340,373
SPFB.RTS-12.18,1,25/09/18,14:50,115360,115400,115330,115390,352
SPFB.RTS-12.18,1,25/09/18,14:51,115380,115400,115360,115380,218
SPFB.RTS-12.18,1,25/09/18,14:52,115380,115390,115340,115380,228
SPFB.RTS-12.18,1,25/09/18,14:53,115370,115440,115370,115430,467
SPFB.RTS-12.18,1,25/09/18,14:54,115430,115430,115360,115370,336
SPFB.RTS-12.18,1,25/09/18,14:55,115360,115360,115300,115350,634
SPFB.RTS-12.18,1,25/09/18,14:56,115360,115360,115300,115310,228
SPFB.RTS-12.18,1,25/09/18,14:57,115320,115350,115270,115290,432
SPFB.RTS-12.18,1,25/09/18,14:58,115300,115320,115290,115310,114
SPFB.RTS-12.18,1,25/09/18,14:59,115330,115340,115280,115300,114
SPFB.RTS-12.18,1,25/09/18,15:00,115320,115350,115310,115340,160
SPFB.RTS-12.18,1,25/09/18,15:01,115340,115440,115330,115430,622
SPFB.RTS-12.18,1,25/09/18,15:02,115420,115480,115390,115440,512
SPFB.RTS-12.18,1,25/09/18,15:03,115440,115450,115400,115400,217
SPFB.RTS-12.18,1,25/09/18,15:04,115430,115440,115370,115420,172
SPFB.RTS-12.18,1,25/09/18,15:05,115390,115400,115350,115370,234
SPFB.RTS-12.18,1,25/09/18,15:06,115390,115440,115390,115430,219
SPFB.RTS-12.18,1,25/09/18,15:07,115430,115470,115400,115430,271
SPFB.RTS-12.18,1,25/09/18,15:08,115430,115440,115410,115410,126
SPFB.RTS-12.18,1,25/09/18,15:09,115420,115450,115320,115330,621
SPFB.RTS-12.18,1,25/09/18,15:10,115330,115360,115300,115340,272
SPFB.RTS-12.18,1,25/09/18,15:11,115330,115390,115330,115330,259
SPFB.RTS-12.18,1,25/09/18,15:12,115330,115340,115300,115310,208
SPFB.RTS-12.18,1,25/09/18,15:13,115310,115310,115250,115270,435
SPFB.RTS-12.18,1,25/09/18,15:14,115260,115290,115260,115270,243
SPFB.RTS-12.18,1,25/09/18,15:15,115260,115320,115260,115300,150
SPFB.RTS-12.18,1,25/09/18,15:16,115320,115330,115290,115300,208
SPFB.RTS-12.18,1,25/09/18,15:17,115310,115320,115240,115280,401
